user_id,expenses,vibe,reviews,instagram_photos,previous_destinations,favorite_activities
user_13,290.62,Adventure,Perfect for relaxation and recharging.,https://instagram.com/photo2,"['New York', 'Paris', 'Tokyo']","['shopping', 'museums', 'city tours']"
user_14,311.65,Luxury,Had an amazing time at the beach!,https://instagram.com/photo5,"['New York', 'Paris', 'Tokyo']","['skiing', 'snowboarding', 'spa']"
user_15,454.04,Budget,I didn't enjoy the busy city life.,https://instagram.com/photo4,"['Istanbul', 'Dubai', 'Moscow']","['adventure sports', 'scuba diving', 'safari']"
user_16,193.68,Socializing,Perfect for relaxation and recharging.,https://instagram.com/photo4,"['Hawaii', 'Bali', 'Rome']","['adventure sports', 'scuba diving', 'safari']"
user_17,299.36,Cultural,A great place for adventure lovers!,https://instagram.com/photo1,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_18,67.92,Adventure,Loved the food and shopping downtown.,https://instagram.com/photo1,"['Istanbul', 'Dubai', 'Moscow']","['hiking', 'fine dining', 'beach']"
user_19,244.45,Budget,Perfect for relaxation and recharging.,https://instagram.com/photo4,"['Berlin', 'Amsterdam', 'Cape Town']","['adventure sports', 'scuba diving', 'safari']"
user_20,53.02,Cultural,The mountains were peaceful and quiet.,https://instagram.com/photo2,"['Berlin', 'Amsterdam', 'Cape Town']","['hiking', 'fine dining', 'beach']"
user_21,154.74,Socializing,A great place for adventure lovers!,https://instagram.com/photo3,"['Istanbul', 'Dubai', 'Moscow']","['skiing', 'snowboarding', 'spa']"
user_22,217.35,Adventure,Perfect for relaxation and recharging.,https://instagram.com/photo3,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_23,72.63,Luxury,A great place for adventure lovers!,https://instagram.com/photo2,"['Sydney', 'London', 'Bangkok']","['skiing', 'snowboarding', 'spa']"
user_24,453.33,Luxury,I didn't enjoy the busy city life.,https://instagram.com/photo5,"['Berlin', 'Amsterdam', 'Cape Town']","['hiking', 'fine dining', 'beach']"
user_25,370.55,Socializing,A great place for adventure lovers!,https://instagram.com/photo5,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_26,440.36,Budget,A great place for adventure lovers!,https://instagram.com/photo1,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_27,178.47,Socializing,A great place for adventure lovers!,https://instagram.com/photo5,"['Sydney', 'London', 'Bangkok']","['wine tasting', 'cycling', 'concerts']"
user_28,326.1,Luxury,A great place for adventure lovers!,https://instagram.com/photo4,"['New York', 'Paris', 'Tokyo']","['wine tasting', 'cycling', 'concerts']"
user_29,212.74,Budget,Had an amazing time at the beach!,https://instagram.com/photo2,"['Sydney', 'London', 'Bangkok']","['shopping', 'museums', 'city tours']"
user_30,496.59,Adventure,Loved the food and shopping downtown.,https://instagram.com/photo5,"['Istanbul', 'Dubai', 'Moscow']","['skiing', 'snowboarding', 'spa']"
user_31,448.01,Cultural,Perfect for relaxation and recharging.,https://instagram.com/photo5,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_32,392.78,Relaxation,A great place for adventure lovers!,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['adventure sports', 'scuba diving', 'safari']"
user_33,117.79,Luxury,Perfect for relaxation and recharging.,https://instagram.com/photo4,"['New York', 'Paris', 'Tokyo']","['adventure sports', 'scuba diving', 'safari']"
user_34,436.23,Budget,Perfect for relaxation and recharging.,https://instagram.com/photo2,"['Istanbul', 'Dubai', 'Moscow']","['wine tasting', 'cycling', 'concerts']"
user_35,364.66,Luxury,Loved the food and shopping downtown.,https://instagram.com/photo1,"['Berlin', 'Amsterdam', 'Cape Town']","['adventure sports', 'scuba diving', 'safari']"
user_36,83.5,Adventure,Perfect for relaxation and recharging.,https://instagram.com/photo5,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_37,304.35,Socializing,The mountains were peaceful and quiet.,https://instagram.com/photo2,"['New York', 'Paris', 'Tokyo']","['wine tasting', 'cycling', 'concerts']"
user_38,53.58,Cultural,Had an amazing time at the beach!,https://instagram.com/photo4,"['Istanbul', 'Dubai', 'Moscow']","['shopping', 'museums', 'city tours']"
user_39,394.76,Adventure,The mountains were peaceful and quiet.,https://instagram.com/photo2,"['Istanbul', 'Dubai', 'Moscow']","['shopping', 'museums', 'city tours']"
user_40,463.24,Budget,Had an amazing time at the beach!,https://instagram.com/photo4,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_41,156.15,Cultural,Had an amazing time at the beach!,https://instagram.com/photo1,"['Berlin', 'Amsterdam', 'Cape Town']","['shopping', 'museums', 'city tours']"
user_42,135.5,Luxury,Perfect for relaxation and recharging.,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_43,423.5,Luxury,Loved the food and shopping downtown.,https://instagram.com/photo3,"['Sydney', 'London', 'Bangkok']","['shopping', 'museums', 'city tours']"
user_44,267.32,Adventure,A great place for adventure lovers!,https://instagram.com/photo5,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_45,271.74,Luxury,Loved the food and shopping downtown.,https://instagram.com/photo1,"['Sydney', 'London', 'Bangkok']","['adventure sports', 'scuba diving', 'safari']"
user_46,63.46,Cultural,Loved the food and shopping downtown.,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['adventure sports', 'scuba diving', 'safari']"
user_47,388.79,Luxury,The mountains were peaceful and quiet.,https://instagram.com/photo2,"['New York', 'Paris', 'Tokyo']","['wine tasting', 'cycling', 'concerts']"
user_48,75.48,Adventure,The mountains were peaceful and quiet.,https://instagram.com/photo4,"['Berlin', 'Amsterdam', 'Cape Town']","['skiing', 'snowboarding', 'spa']"
user_49,493.23,Luxury,I didn't enjoy the busy city life.,https://instagram.com/photo5,"['Sydney', 'London', 'Bangkok']","['skiing', 'snowboarding', 'spa']"
user_50,328.68,Adventure,Loved the food and shopping downtown.,https://instagram.com/photo3,"['Berlin', 'Amsterdam', 'Cape Town']","['shopping', 'museums', 'city tours']"
user_51,68.69,Cultural,A great place for adventure lovers!,https://instagram.com/photo1,"['Istanbul', 'Dubai', 'Moscow']","['shopping', 'museums', 'city tours']"
user_52,240.34,Luxury,Perfect for relaxation and recharging.,https://instagram.com/photo3,"['Sydney', 'London', 'Bangkok']","['skiing', 'snowboarding', 'spa']"
user_53,123.55,Budget,Loved the food and shopping downtown.,https://instagram.com/photo5,"['Sydney', 'London', 'Bangkok']","['wine tasting', 'cycling', 'concerts']"
user_54,140.91,Adventure,I didn't enjoy the busy city life.,https://instagram.com/photo5,"['Hawaii', 'Bali', 'Rome']","['skiing', 'snowboarding', 'spa']"
user_55,82.05,Relaxation,I didn't enjoy the busy city life.,https://instagram.com/photo4,"['Hawaii', 'Bali', 'Rome']","['shopping', 'museums', 'city tours']"
user_56,197.53,Cultural,Loved the food and shopping downtown.,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_57,319.0,Relaxation,The mountains were peaceful and quiet.,https://instagram.com/photo5,"['Istanbul', 'Dubai', 'Moscow']","['wine tasting', 'cycling', 'concerts']"
user_58,56.51,Luxury,A great place for adventure lovers!,https://instagram.com/photo1,"['Berlin', 'Amsterdam', 'Cape Town']","['adventure sports', 'scuba diving', 'safari']"
user_59,300.84,Relaxation,I didn't enjoy the busy city life.,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['adventure sports', 'scuba diving', 'safari']"
user_60,242.11,Luxury,Loved the food and shopping downtown.,https://instagram.com/photo5,"['New York', 'Paris', 'Tokyo']","['shopping', 'museums', 'city tours']"
user_61,347.16,Cultural,The mountains were peaceful and quiet.,https://instagram.com/photo3,"['Istanbul', 'Dubai', 'Moscow']","['adventure sports', 'scuba diving', 'safari']"
user_62,245.83,Cultural,Had an amazing time at the beach!,https://instagram.com/photo4,"['New York', 'Paris', 'Tokyo']","['adventure sports', 'scuba diving', 'safari']"
user_63,227.08,Adventure,Loved the food and shopping downtown.,https://instagram.com/photo5,"['New York', 'Paris', 'Tokyo']","['hiking', 'fine dining', 'beach']"
user_64,376.15,Relaxation,Perfect for relaxation and recharging.,https://instagram.com/photo1,"['Sydney', 'London', 'Bangkok']","['wine tasting', 'cycling', 'concerts']"
user_65,318.29,Adventure,Perfect for relaxation and recharging.,https://instagram.com/photo1,"['Sydney', 'London', 'Bangkok']","['adventure sports', 'scuba diving', 'safari']"
user_66,217.13,Budget,Had an amazing time at the beach!,https://instagram.com/photo2,"['Sydney', 'London', 'Bangkok']","['shopping', 'museums', 'city tours']"
user_67,341.52,Cultural,I didn't enjoy the busy city life.,https://instagram.com/photo5,"['Sydney', 'London', 'Bangkok']","['shopping', 'museums', 'city tours']"
user_68,304.59,Adventure,A great place for adventure lovers!,https://instagram.com/photo1,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_69,363.34,Relaxation,Loved the food and shopping downtown.,https://instagram.com/photo1,"['Istanbul', 'Dubai', 'Moscow']","['skiing', 'snowboarding', 'spa']"
user_70,148.91,Cultural,A great place for adventure lovers!,https://instagram.com/photo2,"['Berlin', 'Amsterdam', 'Cape Town']","['hiking', 'fine dining', 'beach']"
user_71,277.45,Relaxation,I didn't enjoy the busy city life.,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['shopping', 'museums', 'city tours']"
user_72,234.52,Socializing,Had an amazing time at the beach!,https://instagram.com/photo4,"['New York', 'Paris', 'Tokyo']","['hiking', 'fine dining', 'beach']"
user_73,338.85,Relaxation,Perfect for relaxation and recharging.,https://instagram.com/photo1,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_74,361.51,Budget,Perfect for relaxation and recharging.,https://instagram.com/photo5,"['Berlin', 'Amsterdam', 'Cape Town']","['hiking', 'fine dining', 'beach']"
user_75,155.25,Socializing,Had an amazing time at the beach!,https://instagram.com/photo1,"['Sydney', 'London', 'Bangkok']","['hiking', 'fine dining', 'beach']"
user_76,463.39,Cultural,A great place for adventure lovers!,https://instagram.com/photo3,"['Berlin', 'Amsterdam', 'Cape Town']","['hiking', 'fine dining', 'beach']"
user_77,73.08,Budget,A great place for adventure lovers!,https://instagram.com/photo1,"['Sydney', 'London', 'Bangkok']","['skiing', 'snowboarding', 'spa']"
user_78,120.25,Adventure,Had an amazing time at the beach!,https://instagram.com/photo3,"['New York', 'Paris', 'Tokyo']","['adventure sports', 'scuba diving', 'safari']"
user_79,404.71,Budget,The mountains were peaceful and quiet.,https://instagram.com/photo1,"['Hawaii', 'Bali', 'Rome']","['skiing', 'snowboarding', 'spa']"
user_80,442.61,Adventure,Perfect for relaxation and recharging.,https://instagram.com/photo2,"['Hawaii', 'Bali', 'Rome']","['hiking', 'fine dining', 'beach']"
user_81,167.56,Budget,The mountains were peaceful and quiet.,https://instagram.com/photo2,"['New York', 'Paris', 'Tokyo']","['wine tasting', 'cycling', 'concerts']"
user_82,438.04,Cultural,Perfect for relaxation and recharging.,https://instagram.com/photo3,"['New York', 'Paris', 'Tokyo']","['skiing', 'snowboarding', 'spa']"
user_83,248.39,Adventure,Had an amazing time at the beach!,https://instagram.com/photo2,"['Hawaii', 'Bali', 'Rome']","['wine tasting', 'cycling', 'concerts']"
user_84,169.03,Socializing,A great place for adventure lovers!,https://instagram.com/photo1,"['Hawaii', 'Bali', 'Rome']","['adventure sports', 'scuba diving', 'safari']"
user_85,190.54,Adventure,Had an amazing time at the beach!,https://instagram.com/photo5,"['Sydney', 'London', 'Bangkok']","['shopping', 'museums', 'city tours']"
user_86,486.58,Socializing,Had an amazing time at the beach!,https://instagram.com/photo1,"['Berlin', 'Amsterdam', 'Cape Town']","['hiking', 'fine dining', 'beach']"
user_87,84.09,Relaxation,I didn't enjoy the busy city life.,https://instagram.com/photo4,"['Berlin', 'Amsterdam', 'Cape Town']","['adventure sports', 'scuba diving', 'safari']"
user_88,68.68,Cultural,I didn't enjoy the busy city life.,https://instagram.com/photo3,"['Sydney', 'London', 'Bangkok']","['adventure sports', 'scuba diving', 'safari']"
user_89,283.13,Adventure,Had an amazing time at the beach!,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['shopping', 'museums', 'city tours']"
user_90,482.29,Cultural,I didn't enjoy the busy city life.,https://instagram.com/photo1,"['New York', 'Paris', 'Tokyo']","['shopping', 'museums', 'city tours']"
user_91,254.85,Adventure,Loved the food and shopping downtown.,https://instagram.com/photo3,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_92,434.49,Cultural,Loved the food and shopping downtown.,https://instagram.com/photo3,"['Hawaii', 'Bali', 'Rome']","['skiing', 'snowboarding', 'spa']"
user_93,214.42,Socializing,The mountains were peaceful and quiet.,https://instagram.com/photo4,"['Berlin', 'Amsterdam', 'Cape Town']","['wine tasting', 'cycling', 'concerts']"
user_94,349.43,Budget,I didn't enjoy the busy city life.,https://instagram.com/photo4,"['Berlin', 'Amsterdam', 'Cape Town']","['adventure sports', 'scuba diving', 'safari']"
user_95,413.71,Adventure,The mountains were peaceful and quiet.,https://instagram.com/photo4,"['New York', 'Paris', 'Tokyo']","['shopping', 'museums', 'city tours']"
user_96,60.27,Adventure,Had an amazing time at the beach!,https://instagram.com/photo2,"['Sydney', 'London', 'Bangkok']","['shopping', 'museums', 'city tours']"
user_97,180.23,Luxury,Loved the food and shopping downtown.,https://instagram.com/photo4,"['Hawaii', 'Bali', 'Rome']","['adventure sports', 'scuba diving', 'safari']"
user_98,91.98,Cultural,The mountains were peaceful and quiet.,https://instagram.com/photo4,"['Berlin', 'Amsterdam', 'Cape Town']","['hiking', 'fine dining', 'beach']"
user_99,218.24,Relaxation,I didn't enjoy the busy city life.,https://instagram.com/photo2,"['New York', 'Paris', 'Tokyo']","['adventure sports', 'scuba diving', 'safari']"
user_100,60.0,Adventure,Had an amazing time at the beach!,https://instagram.com/photo1,"['New York', 'Paris', 'Tokyo']","['skiing', 'snowboarding', 'spa']"
